,user ratings
feast-2014,0
loving-2016,0
the-future,0
mank,0
the-social-network,0
miss-you-already,0
saw-iii,0
recess-schools-out,0
the-girl-on-the-train-2016,0
yes-man,0
insidious,0
the-alphabet,0
first-girl-i-loved,0
sydney-white,0
bo-burnham-what,0
all-cheerleaders-die,0
the-wave-2015,0
next-floor,0
nerve-2016,0
the-disappearance-of-eleanor-rigby-her,0
mud,0
doubt,0
walk-hard-the-dewey-cox-story,0
hush-2016,0
deadpool,0
the-invitation-2015,0
trick-r-treat,0
queen-of-earth,0
crimson-peak,0
fright-night,0
a-charlie-brown-thanksgiving,0
the-duke-of-burgundy,0
v-h-s,0
are-we-there-yet,0
would-you-rather,0
the-shaggy-dog-2006,0
the-lazarus-effect-2015,0
birdman-or-the-unexpected-virtue-of-ignorance,0
sleepover,0
vacation-2015,0
saving-silverman,0
happy-feet,0
cow-belles,0
lava-2014,0
read-it-and-weep,0
halloweentown-high,0
spy,0
moms-got-a-date-with-a-vampire,0
tig,0
legend-2015,0
incendies,0
antibirth,0
kubo-and-the-two-strings,0
dont-breathe-2016,0
sun-choke,0
the-bling-ring,0
oslo-august-31st,0
wet-hot-american-summer,0
the-conjuring-2,0
twister,0
full-metal-jacket,0
batman-v-superman-dawn-of-justice,0
the-revenant-2015,0
the-wrong-trousers,0
oliver-company,0
raise-your-voice,0
because-of-winn-dixie,0
lost-river,0
good-burger,0
shark-tale,0
homeward-bound-the-incredible-journey,0
while-you-were-sleeping,0
bottle-rocket-1996,0
fantastic-four,0
macbeth-2015,0
paperman,0
struck-by-lightning,0
the-disappearance-of-eleanor-rigby-him,0
the-royal-tenenbaums,0
cronos,0
short-term-12-2013,0
the-way-he-looks,0
adaptation,0
drive-2011,0
martha-marcy-may-marlene,0
neighbors-2014,0
freeheld-2015,0
heaven-knows-what,0
room-2015,0
what-we-do-in-the-shadows,0
madagascar-escape-2-africa,0
stardust-2007,0
envy,0
pontypool,0
dope-2015,0
one-hundred-and-one-dalmatians,0
like-mike,0
the-land-before-time,0
the-mist,0
god-bless-america,0
the-cheetah-girls-2,0
the-boxtrolls,0
coherence,0
cobain-montage-of-heck,0
pride-2014,0
the-muppets,0
monsters-vs-aliens,0
the-diving-bell-and-the-butterfly,0
the-purge-anarchy,0
the-powerpuff-girls-movie,0
the-nice-guys,0
breathe-2014,0
the-stanford-prison-experiment,0
the-machinist,0
white-god,0
magic-mike-xxl,0
the-fountain,0
the-city-of-lost-children,0
the-devil-wears-prada,0
joy-2015,0
john-mulaney-the-comeback-kid,0
american-ultra,0
the-aristocats,0
the-blob-1988,0
tower-of-terror,0
enemy,0
king-of-california,0
eagle-eye,0
dinosaur,0
cool-runnings,0
high-school-musical-2,0
honey-i-blew-up-the-kid,0
tracks-2013,0
going-clear-scientology-and-the-prison-of-belief,0
stuck-in-the-suburbs,0
pixel-perfect,0
the-luck-of-the-irish,0
pitch-perfect-2,0
schindlers-list,0
a-girl-walks-home-alone-at-night,0
firestarter,0
gentlemen-broncos,0
the-great-outdoors,0
my-own-private-idaho,0
safe,0
finding-dory,0
jurassic-world,0
sisters-2015,0
its-the-great-pumpkin-charlie-brown,0
creep-2014,0
martyrs,0
the-abandoned,0
the-adventures-of-pinocchio-1996,0
treasure-planet,0
cinderella,0
surviving-christmas,0
flubber,0
the-wedding-planner,0
the-age-of-adaline,0
lets-go-to-prison,0
comet,0
twitches,0
leon-the-professional,0
american-beauty,0
dear-zachary-a-letter-to-a-son-about-his-father,0
hunger,0
monster,0
into-the-forest,0
closer,0
hard-candy,0
taxi-driver,0
tom-at-the-farm,0
kumiko-the-treasure-hunter,0
high-school-musical,0
over-the-hedge,0
insidious-chapter-3,0
the-final-girls,0
the-hills-have-eyes-2006,0
the-martian,0
beginners,0
pirates-of-the-caribbean-at-worlds-end,0
bedtime-stories,0
problem-child,0
